	FIRST_IGN	STATE	year	month	day	count
541765	72	AL	2016	11	1	1
541766	72	AL	2016	11	1	1
541767	72	AL	2016	11	29	1
541768	72	AL	2016	12	11	1
541769	72	AL	2016	7	4	1
541770	72	AL	2016	9	3	1
541771	73	AL	2016	11	3	1
541772	72	AL	2016	3	21	1
541773	72	AL	2016	9	26	1
541774	72	AL	2016	9	28	1
541775	72	AL	2016	10	1	1
541776	72	AL	2016	10	8	1
541777	72	AL	2016	10	8	1
541778	72	AL	2016	10	9	1
541779	72	AL	2016	10	10	1
541780	72	AL	2016	10	11	1
541781	72	AL	2016	10	11	1
541782	72	AL	2016	12	25	1
541783	72	AL	2016	3	21	1
541784	73	AL	2016	8	14	1
541785	72	AL	2016	5	18	1
541786	72	AL	2016	7	11	1
541787	73	AL	2016	8	16	1
541788	73	AL	2016	8	26	1
541789	72	AL	2016	9	20	1
541790	72	AL	2016	9	21	1
541791	72	AL	2016	9	25	1
541792	72	AL	2016	9	15	1
541793	73	AL	2016	10	13	1
541794	72	AL	2016	5	14	1
541795	72	AL	2016	5	25	1
541796	72	AL	2016	5	25	1
541797	72	AL	2016	6	23	1
541798	73	AL	2016	2	8	1
541799	72	AL	2016	4	29	1
541800	72	AL	2016	9	16	1
541801	73	AL	2016	9	29	1
541802	73	AL	2016	9	30	1
541803	71	AL	2016	10	1	1
541804	73	AL	2016	10	15	1
541805	73	AL	2016	10	21	1
541806	72	AL	2016	1	31	1
541807	72	AL	2016	3	19	1
541808	72	AL	2016	5	30	1
541809	72	AL	2016	10	8	1
541810	72	AL	2016	3	15	1
541811	72	AL	2016	3	18	1
541812	73	AL	2016	10	10	1
541813	72	AL	2016	12	29	1
541814	72	AL	2016	3	18	1
541815	72	AL	2016	2	13	1
541816	73	AL	2016	2	19	1
541817	72	AL	2016	1	29	1
541818	72	AL	2016	9	25	1
541819	72	AL	2016	2	11	1
541820	72	AL	2016	5	16	1
541821	72	AL	2016	7	2	1
541822	73	AL	2016	8	6	1
541823	72	AL	2016	9	23	1
541824	72	AL	2016	11	1	1
541825	73	AL	2016	11	2	1
541826	72	AL	2016	12	10	1
541827	72	AL	2016	8	23	1
541828	72	AL	2016	9	25	1
541829	72	AL	2016	10	10	1
541830	73	AL	2016	10	11	1
541831	72	AL	2016	10	12	1
541832	72	AL	2016	1	30	1
541833	72	AL	2016	4	26	1
541834	72	AL	2016	10	6	1
541835	73	AL	2016	10	23	1
541836	73	AL	2016	10	24	1
541837	72	AL	2016	10	25	1
541838	73	AL	2016	10	30	1
541839	72	AL	2016	11	1	1
541840	72	AL	2016	11	1	1
541841	72	AL	2016	8	31	1
541842	72	AL	2016	10	9	1
541843	72	AL	2016	11	28	1
541844	72	AL	2016	3	22	1
541845	73	AL	2016	6	13	1
541846	72	AL	2016	6	20	1
541847	72	AL	2016	7	3	1
541848	72	AL	2016	7	5	1
541849	72	AL	2016	9	3	1
